tw_type,id,user,in_reply_to_status_id,in_reply_to_user_id,sentiment
quote,1242399228242079744,131652681,,,-1.3007
quote,1242399228317622273,827884604757569536,,,0.1519
quote,1242399228296601600,294870188,,,-0.0005
quote,1242399228342620160,998023476731527169,,,-0.6707
quote,1242399228325814273,3310653054,,,0.3461
quote,1242399228518940674,1007370931122200580,,,1.6344
quote,1242399228422287360,1059649078005395456,,,-1.4913
quote,1242399228552458240,265664213,,,-1.9526
quote,1242399228619624449,219422167,,,-0.3772
quote,1242399228661354496,888402338683076608,,,-1.5557
quote,1242399228682477568,1519695264,,,-0.5322
quote,1242399228631994368,3110380933,,,0.1335
quote,1242399228741087233,2320558665,,,-1.2576
quote,1242399228787376129,236333273,,,1.6677
quote,1242399228967530497,510214985,,,1.2697
quote,1242399229118681088,1180130808,,,1.9212
quote,1242399229688958977,179427300,,,-0.6953
quote,1242399229902897157,21063394,,,0.9765
quote,1242399229957586944,116019272,,,1.3870
quote,1242399230150483973,1155359349746913280,,,-1.0269
quote,1242399230024536064,2909880961,,,0.6553
quote,1242399233770246144,169043585,,,0.1625
quote,1242399233870888960,155885937,,,-0.7671
quote,1242399233983954946,149723899,,,-0.1076
quote,1242399234164482048,1118027191,,,0.6812
quote,1242399233963065350,135789349,,,-1.0863
quote,1242399234281873409,197457981,,,-1.2915
quote,1242399234042875904,1929789500,,,-1.2400
quote,1242399234105753600,4613647402,,,1.6204
quote,1242399234277740545,532186283,,,0.7959
quote,1242399234365820928,1430787451,,,-0.3646
quote,1242399234353135617,1077105128921014272,,,1.7287
quote,1242399234432872448,1684443572,,,-1.8811
quote,1242399234533371904,1196808920171307008,,,0.8082
quote,1242399234579709953,163077817,,,-1.2270
quote,1242399237914189828,214524347,,,0.2953
quote,1242399237989687296,2504805810,,,0.6200
quote,1242399238027464704,2411240619,,,-1.3506
quote,1242399238102941699,1089111751252209664,,,-1.9788
quote,1242399238572539904,728505187246080001,,,-0.7765
quote,1242399238727884800,1081775631640211456,,,0.7499
quote,1242399238874632192,1033785089489072128,,,1.9796
quote,1242399238987878406,16359303,,,1.1376
quote,1242399239088623618,825492712350683136,,,1.6696
quote,1242399239147266049,4707899835,,,1.2828
quote,1242399239134539776,429624193,,,-1.3781
quote,1242399242364149760,1151876163494481920,,,1.2149
quote,1242399242653556736,780239307609104384,,,0.0936
quote,1242399242519543809,995210239245979648,,,-0.1377
quote,1242399242695536640,1178540480025358336,,,1.7414
quote,1242399242771193857,40350554,,,0.5336
quote,1242399242800504832,526815762,,,1.4401
quote,1242399242976559104,179090738,,,-1.9777
quote,1242399242959740929,251375413,,,-1.1457
quote,1242399243039457280,356045595,,,-0.3864
quote,1242399243182264320,1208990112568229888,,,-0.0354
quote,1242399243110961152,815979346846482432,,,0.6442
quote,1242399243207352320,362505810,,,-1.7176
quote,1242399246260809729,534073,,,0.9854
quote,1242399246319525888,1288180873,,,-0.6024
quote,1242399246415880193,1048394206920626176,,,-0.1813
quote,1242399246461984769,270338408,,,-1.0013
quote,1242399246684262400,2251151803,,,-1.1719
quote,1242399246571261953,2173072229,,,1.6872
quote,1242399246554296322,1036030226826911744,,,1.8781
quote,1242399246759886854,17594634,,,-1.9020
quote,1242399246709428224,1011218256554647552,,,1.5605
quote,1242399246982303744,1519598670,,,-1.2661
quote,1242399246944538627,1160784856965615616,,,-1.5081
quote,1242399250589396999,767468071,,,1.5145
quote,1242399250635513856,829904159755354112,,,1.1616
quote,1242399250706808833,711773792,,,0.4234
quote,1242399250664894466,401889371,,,1.4820
quote,1242399249880494081,2653542950,,407781903.0,-0.2176
quote,1242399250769686528,2986028404,,,-1.2121
quote,1242399243559673856,633275805,,,1.1253
quote,1242399243463208963,732579602,,1.2393328578073846e+18,-1.6342
quote,1242399250920747008,1053458650046623839,,,-1.2605
quote,1242399249226031104,470090418,,,0.3027
quote,1242399250958303232,1307425399,,,0.2155
quote,1242399250409029633,130780826,,,1.5298
quote,1242399250991837185,1055696973880209408,,,0.6725
quote,1242399251167997952,941253334609965057,,,0.5036
quote,1242399251138838529,2356837350,,,0.6087
quote,1242399254661996545,3316341925,,,0.6998
quote,1242399254838116352,563720164,,,0.4935
quote,1242399254850699264,34925524,,,1.8246
quote,1242399254976528390,228540698,,,1.9797
quote,1242399254716563456,1032210535645937664,,,-1.7150
quote,1242399254913536000,3196157988,,,0.3780
quote,1242399254355890177,1708525778,,,1.7006
quote,1242399255236468736,1237418359,,,1.6207
quote,1242399255479926784,4568490681,,,-1.3956
quote,1242399255492509696,1033243188,,,-0.9803
quote,1242399255379222528,408050814,,,-0.2374
quote,1242399255576313857,994875718185160705,,,-1.8997
quote,1242399258948579334,325555105,,,1.3417
quote,1242399259036717056,436568623,,,-0.2311
quote,1242399259095445506,404023573,,,1.2018
quote,1242399259149897728,873467864,,,-0.2597
quote,1242399258759827457,214992063,,,-1.6961
quote,1242399259221200897,3590087243,,,-0.9101
quote,1242399259225460741,933708984397254657,,,-1.5845
quote,1242399259279921152,998666125369016320,,,-1.7902
quote,1242399259518889985,1143013627496001536,,,-1.8104
quote,1242399259523190786,888521036966350848,,,-0.9155
quote,1242399259686776832,4857602577,,,1.2278
quote,1242399259619504131,2300911280,,,-0.8686
quote,1242399259590361089,22349112,,,0.9942
quote,1242399259783290883,814955275,,,-0.2614
quote,1242399263075827712,317423394,,,-1.7597
quote,1242399263293923329,326844563,,,0.9829
quote,1242399263243501569,2264130177,,,-1.4877
quote,1242399263205851136,17836555,,,-1.2563
quote,1242399263252008960,911155246528962560,,,1.8213
quote,1242399263256186880,435645743,,,1.2195
quote,1242399263352475648,1652732726,,,0.2355
quote,1242399263306338305,697782743434862592,,,-1.0041
quote,1242399263423729664,3242923895,,,1.0126
quote,1242399263432364032,1060605689024929792,,,-0.3451
quote,1242399263717498880,2322630359,,,-1.1224
quote,1242399263746699264,63386694,,,1.8720
quote,1242399263922905088,2473661148,,,0.2805
quote,1242399263834943489,897211692215566338,1.2423977926241608e+18,2910840034.0,0.0001
quote,1242399263968989186,879517739970199552,,,0.1492
quote,1242399267173662721,1194937949017792513,,,-0.6042
quote,1242399267399929857,92365841,,,-0.8276
quote,1242399266720669696,418323305,,,-0.7056
quote,1242399267374821383,2350883904,,,0.9705
quote,1242399266720669696,418323305,,,1.3955
quote,1242399267404173312,3011028572,,,0.9930
quote,1242399267362390022,2427645310,,,-1.7402
quote,1242399267567931393,97301846,,,-1.3293
quote,1242399267530080261,4908989583,,,-1.6923
quote,1242399267106537472,576095065,,,1.0390
quote,1242399267634860032,49495906,,,-0.8046
quote,1242399267672576000,1116776824296493056,,,-0.1076
quote,1242399267622391809,134150959,,,-0.8532
quote,1242399267685306368,105263269,,,1.3849
quote,1242399267580448768,1106205778153820161,,,0.3691
quote,1242399267593076738,1241323129894588416,,,-1.5992
quote,1242399267815383042,1046919325112766465,,,1.3854
quote,1242399271606943745,1225127915328806912,,,-1.0616
quote,1242399271586013185,228680680,,,-0.4508
quote,1242399271594442752,3060398056,,,1.2534
quote,1242399271871225858,494116231,,,-1.6995
quote,1242399271854497793,1240295265988497408,,,1.5195
quote,1242399271909036032,449098803,,,1.3960
quote,1242399272009715712,182192730,,,-1.5901
quote,1242399272059801601,3080062616,,,-0.8298
quote,1242399272177467394,103582262,,,0.0788
quote,1242399272290508801,864030900241055744,,,1.6850
quote,1242399272248770560,275059652,,,0.4322
quote,1242399272148049921,599850726,,,-0.2536
quote,1242399275885170688,395958613,,,-1.0533
quote,1242399275763535878,2561483682,,,1.7878
quote,1242399275918770176,84854638,,,-1.5805
quote,1242399276149256192,447625768,,,-1.7523
quote,1242399276141096961,2944989595,,,-1.8484
quote,1242399276283633665,3369346679,,,-0.3792
quote,1242399276325646340,833625573029191680,,,-0.4400
quote,1242399276321259520,948897323786027008,,,-1.8200
quote,1242399279236276224,1139845692636008448,,,1.7433
quote,1242399279857061889,1026598497104015360,,,-1.5850
quote,1242399280083722240,2273437220,,,0.8835
quote,1242399280192724999,1168168881648754688,,,1.1224
quote,1242399280150777858,932817837076418560,,,-0.1678
quote,1242399280175988736,1231611649066491905,,,-0.4637
quote,1242399280255717376,1406345574,,,1.1155
quote,1242399280469434369,58112696,,,1.1735
quote,1242399280444239872,794237201395519488,,,1.1560
quote,1242399280691908610,26423850,,,1.3184
quote,1242399280666750977,1032717789881098241,,,-0.4190
quote,1242399284068339712,60109593,,,-1.6229
quote,1242399284013694976,242667730,,,-1.6565
quote,1242399284072296449,952553973059280896,,,0.9548
quote,1242399284344963072,806191527433097216,,,-0.5261
quote,1242399284345155584,280917587,,,-0.5470
quote,1242399284399468546,971520427,,,-1.6813
quote,1242399284521295874,868823510235435008,,,0.0440
quote,1242399284642758656,1177470108,,,-1.5294
quote,1242399284668096513,2959202735,,,-0.3427
quote,1242399288207933442,268185735,,,-0.1970
quote,1242399288493301760,788126766221123584,,,-1.0401
quote,1242399288489058309,809395476894203904,,,-0.9542
quote,1242399288564514818,708458185494040576,,,0.0088
quote,1242399288862228480,533908661,,,-1.5198
quote,1242399288761520128,751098324,,,1.6858
quote,1242399288774348804,300904290,,,-1.3367
quote,1242399292804997120,953355196045975552,,,0.9572
quote,1242399292834238464,709452670096973825,,,-0.1950
quote,1242399292956069888,1040133567458811904,,,1.4060
quote,1242399292918300673,1152967761934598144,,,0.9542
quote,1242399293148987397,2268708474,,,0.4842
quote,1242399293014589440,214821519,,,-0.2983
quote,1242399293136416768,1123957674142511106,,,-1.9806
quote,1242399293266264064,181143918,,,0.4213
quote,1242399296902909953,923459186,,,0.1495
quote,1242399296881860609,457864122,,,-1.8642
quote,1242399297112625164,800671360737419264,,,-1.4123
